<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP,D,20130919,000000,4.7061,4.7061,4.7061,4.7061,5,0
ICP,D,20130920,000000,4.7061,4.7061,4.7061,4.7061,4,0
ICP,D,20130923,000000,4.7061,4.7061,4.7061,4.7061,5,0
ICP,D,20130924,000000,4.7061,4.7061,4.7061,4.7061,3,0
ICP,D,20130925,000000,4.7061,4.7061,4.7061,4.7061,3,0
ICP,D,20130926,000000,4.7061,4.7061,4.7061,4.7061,3,0
ICP,D,20130927,000000,4.7061,4.7061,4.7061,4.7061,3,0
ICP,D,20130930,000000,4.7061,4.7061,4.7061,4.7061,5,0
ICP,D,20131004,000000,4.7535,5.7043,4.7535,4.7535,1092,0
ICP,D,20131007,000000,4.7535,4.7535,4.7535,4.7535,13,0
ICP,D,20131008,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131009,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131010,000000,4.7535,4.7535,4.7535,4.7535,4,0
ICP,D,20131011,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131014,000000,4.7535,4.7535,4.7535,4.7535,10,0
ICP,D,20131015,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131016,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131017,000000,4.7535,4.7535,4.7535,4.7535,2,0
ICP,D,20131018,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131021,000000,4.7535,4.7535,4.7061,4.7061,214,0
ICP,D,20131022,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131023,000000,4.7535,4.7535,4.7535,4.7535,10,0
ICP,D,20131024,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131025,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131028,000000,4.7535,4.7535,4.7535,4.7535,10,0
ICP,D,20131029,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131030,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131031,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131125,000000,4.7535,4.7535,4.7535,4.7535,27,0
ICP,D,20131126,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131127,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131128,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131129,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131202,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131203,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131204,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131205,000000,4.7535,4.7535,4.7535,4.7535,3,0
ICP,D,20131206,000000,4.7535,4.7535,4.7535,4.7535,10,0
ICP,D,20131209,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131210,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131211,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131212,000000,4.7535,4.7535,4.7535,4.7535,5,0
ICP,D,20131213,000000,4.7535,4.9152,4.7535,4.9152,805,0
ICP,D,20131216,000000,5.0007,5.0007,5.0007,5.0007,5,0
ICP,D,20131217,000000,5.0293,5.0293,5.0293,5.0293,5,0
ICP,D,20131218,000000,5.0388,5.0388,5.0388,5.0388,3,0
ICP,D,20131220,000000,4.8486,4.8486,4.5635,4.5635,15,0
ICP,D,20131230,000000,4.6585,5.4191,4.6585,5.4191,947,0
ICP,D,20140102,000000,5.0388,5.0388,5.0388,5.0388,231,0
ICP,D,20140103,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140107,000000,4.9912,4.9912,4.9912,4.9912,3,0
ICP,D,20140108,000000,5.0293,5.0293,5.0293,5.0293,5,0
ICP,D,20140109,000000,5.0388,5.0388,5.0388,5.0388,3,0
ICP,D,20140110,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140113,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140114,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140115,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140116,000000,5.0388,5.0388,5.0388,5.0388,5,0
ICP,D,20140117,000000,5.0388,5.0388,5.0388,5.0388,2,0
ICP,D,20140120,000000,5.0388,5.0388,5.0388,5.0388,3,0
ICP,D,20140121,000000,4.7535,4.7535,4.7535,4.7535,105,0
ICP,D,20140131,000000,5.0388,5.0388,4.9437,4.9437,416,0
ICP,D,20140203,000000,4.7535,4.7535,4.7535,4.7535,189,0
ICP,D,20140204,000000,4.8486,4.8486,4.8486,4.8486,60,0
ICP,D,20140206,000000,4.9532,5.2954,4.8486,4.8486,673,0
