<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECA,D,20160302,000000,1.1617,1.2015,1.1617,1.2015,5348,0
ECA,D,20160307,000000,1.2015,1.2095,1.2015,1.2095,1470,0
ECA,D,20160308,000000,1.2015,1.2095,1.1936,1.2095,4649,0
ECA,D,20160309,000000,1.2015,1.2015,1.1936,1.2015,1786,0
ECA,D,20160310,000000,1.2015,1.2254,1.2015,1.2254,5051,0
ECA,D,20160311,000000,1.2015,1.2015,1.2015,1.2015,1282,0
ECA,D,20160314,000000,1.2015,1.2015,1.2015,1.2015,639,0
ECA,D,20160315,000000,1.2015,1.2015,1.2015,1.2015,13,0
ECA,D,20160316,000000,1.2015,1.2015,1.2015,1.2015,13,0
ECA,D,20160317,000000,1.1936,1.1936,1.0743,1.1857,4914,0
ECA,D,20160318,000000,1.1857,1.1936,1.0743,1.1936,11511,0
ECA,D,20160321,000000,1.1857,1.1857,1.1857,1.1857,25,0
ECA,D,20160322,000000,1.1857,1.1857,1.1857,1.1857,25,0
ECA,D,20160323,000000,1.1857,1.1857,1.1857,1.1857,25,0
ECA,D,20160324,000000,1.1857,1.1857,1.1857,1.1857,25,0
ECA,D,20160329,000000,1.1857,1.1857,1.0663,1.1857,1672,0
ECA,D,20160330,000000,1.1538,1.1777,1.0583,1.1777,3856,0
ECA,D,20160331,000000,1.1697,1.1697,1.1697,1.1697,25,0
ECA,D,20160401,000000,1.1617,1.1697,1.0344,1.1299,5310,0
ECA,D,20160404,000000,1.0743,1.1379,1.0424,1.1379,5328,0
ECA,D,20160405,000000,1.1379,1.1459,1.1379,1.1459,3016,0
ECA,D,20160407,000000,1.1459,1.1538,1.1459,1.1538,942,0
ECA,D,20160411,000000,1.1538,1.1538,1.1538,1.1538,2206,0
ECA,D,20160412,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160413,000000,1.1459,1.1459,1.1459,1.1459,25,0
