<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20191219,000000,29,30,29,29.8,2201,0
MOV,D,20191220,000000,29.2,29.5,29,29.3,2506,0
MOV,D,20191223,000000,28.9,29.5,28.9,29.5,1705,0
MOV,D,20191227,000000,30.4,31.1,29.2,31,1516,0
MOV,D,20191230,000000,31,33.6,30.6,33.2,3865,0
MOV,D,20200102,000000,33.6,34.8,32.1,34.2,2455,0
MOV,D,20200103,000000,34.2,34.4,33,34,1312,0
MOV,D,20200107,000000,33.8,33.8,31.4,33.5,3345,0
MOV,D,20200108,000000,32.8,33.1,31.6,32.9,4126,0
MOV,D,20200109,000000,32.4,35,32.2,35,6540,0
MOV,D,20200110,000000,34.9,36.5,34,35,8207,0
MOV,D,20200113,000000,35.4,35.4,34.3,35,4201,0
MOV,D,20200114,000000,34.9,34.9,33,34,7022,0
MOV,D,20200115,000000,33.3,33.5,33,33.5,3638,0
MOV,D,20200116,000000,35,35,33,33.3,5457,0
MOV,D,20200117,000000,33.9,33.9,32,33,1865,0
MOV,D,20200120,000000,32.2,32.8,31.6,32.4,3156,0
MOV,D,20200121,000000,32.8,32.8,31.5,32.1,4936,0
MOV,D,20200122,000000,32,32,30.7,31.7,6091,0
MOV,D,20200123,000000,31.5,32,30.2,30.5,3921,0
MOV,D,20200124,000000,30.9,31.7,30,31,3363,0
MOV,D,20200127,000000,30.5,30.8,30.2,30.7,2072,0
MOV,D,20200128,000000,30.6,30.7,30.4,30.5,2461,0
MOV,D,20200129,000000,30.5,30.9,29.2,30.9,5160,0
MOV,D,20200130,000000,31,31,29.6,30.7,1365,0
MOV,D,20200131,000000,30.7,30.7,29.4,30,7280,0
MOV,D,20200203,000000,30.5,31.4,30,31.3,5335,0
MOV,D,20200204,000000,30.7,32.5,30.7,32,7091,0
MOV,D,20200205,000000,32.5,33.9,32.1,33.7,18122,0
MOV,D,20200206,000000,33.6,33.6,33,33.6,6496,0
MOV,D,20200207,000000,33.6,33.6,32.4,33.4,2267,0
MOV,D,20200210,000000,33.4,33.7,32,33.5,4697,0
MOV,D,20200211,000000,33.5,34.3,33.3,34.3,5637,0
MOV,D,20200212,000000,34.4,34.4,33.6,34,2151,0
MOV,D,20200213,000000,34,34.2,33.5,34.1,2772,0
MOV,D,20200214,000000,33.6,34.1,33.5,34.1,5606,0
MOV,D,20200217,000000,34.4,36.8,34,36,25547,0
MOV,D,20200218,000000,35.9,36.8,35.2,36.5,8912,0
MOV,D,20200219,000000,37,37.8,36.5,37.6,13211,0
MOV,D,20200220,000000,38.1,38.1,36.9,37.3,10916,0
MOV,D,20200221,000000,37.5,37.5,36.5,36.9,6351,0
MOV,D,20200224,000000,36.6,36.6,34.3,35.1,10326,0
MOV,D,20200225,000000,35.3,35.3,30.6,33,20346,0
MOV,D,20200226,000000,31.3,34.5,30.8,34.4,6629,0
MOV,D,20200227,000000,33.5,34.2,31.5,32,10178,0
MOV,D,20200228,000000,30.5,31.2,26.2,27.8,17638,0
MOV,D,20200302,000000,30.6,30.6,28,30,12370,0
MOV,D,20200303,000000,31,31.7,28.9,31.5,12853,0
MOV,D,20200304,000000,30.8,31.2,29.5,31.2,2132,0
MOV,D,20200305,000000,31.2,32,29.2,29.8,7667,0
MOV,D,20200306,000000,28.9,29.4,28.3,29.2,4430,0
MOV,D,20200309,000000,27.4,27.9,22.1,26.2,16385,0
MOV,D,20200310,000000,26.2,27.3,25.3,26.7,5098,0
MOV,D,20200311,000000,26.9,26.9,22.4,23.8,8357,0
MOV,D,20200312,000000,21,21,16.8,16.8,19033,0
MOV,D,20200313,000000,18,21,17.5,18.9,18515,0
MOV,D,20200316,000000,18.2,21.6,15.4,21.5,14618,0
MOV,D,20200317,000000,22.1,24.9,21.5,24.1,12213,0
MOV,D,20200318,000000,24.1,25.6,22,24.5,8535,0
MOV,D,20200319,000000,24.8,27,24.4,26.8,6044,0
MOV,D,20200320,000000,27.2,28.5,26,26.9,11982,0
MOV,D,20200323,000000,24.5,25.6,20,24.9,11865,0
MOV,D,20200324,000000,26,26.5,24.7,26.5,3980,0
MOV,D,20200325,000000,29,30.4,26.7,28,15161,0
MOV,D,20200326,000000,27.9,29.7,27.6,29.6,4138,0
MOV,D,20200327,000000,30.3,30.5,27.5,28.7,4429,0
MOV,D,20200330,000000,27.2,28.8,27,27.3,2621,0
MOV,D,20200331,000000,27.3,28.9,27.3,28.8,10380,0
MOV,D,20200401,000000,27.1,29.6,27,29.5,5025,0
MOV,D,20200402,000000,29.6,29.7,28.5,29.6,7077,0
MOV,D,20200403,000000,29.6,32.9,29.6,32.9,12081,0
MOV,D,20200406,000000,34.3,37.4,34.2,36,23351,0
MOV,D,20200407,000000,37.9,38.6,33,33.1,23654,0
MOV,D,20200408,000000,34.2,37,34.2,36.9,8038,0
MOV,D,20200409,000000,37.1,40.5,37.1,40.4,44301,0
MOV,D,20200414,000000,42.9,49,42.5,49,77333,0
MOV,D,20200415,000000,49.8,51.8,43.8,48,35176,0
