<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB,D,20150109,000000,1.533,1.533,1.533,1.533,21,0
VRB,D,20150112,000000,1.533,1.533,1.5239,1.533,1556,0
VRB,D,20150113,000000,1.533,1.533,1.533,1.533,21,0
VRB,D,20150114,000000,1.533,1.533,1.4053,1.4418,2256,0
VRB,D,20150115,000000,1.4418,1.46,1.4418,1.46,1661,0
VRB,D,20150116,000000,1.46,1.46,1.46,1.46,21,0
VRB,D,20150119,000000,1.4509,1.4509,1.4509,1.4509,21,0
VRB,D,20150120,000000,1.4509,1.4509,1.4509,1.4509,21,0
VRB,D,20150121,000000,1.4509,1.4509,1.3688,1.3688,362,0
VRB,D,20150122,000000,1.2776,1.2776,1.1863,1.1863,1491,0
VRB,D,20150123,000000,1.1863,1.2593,1.1863,1.2593,34,0
VRB,D,20150126,000000,1.2319,1.2502,1.2319,1.2502,1107,0
VRB,D,20150127,000000,1.2502,1.2502,1.2502,1.2502,21,0
VRB,D,20150128,000000,1.2593,1.2593,1.2593,1.2593,10,0
VRB,D,20150129,000000,1.1863,1.2593,1.1863,1.2593,54,0
VRB,D,20150130,000000,1.1406,1.168,1.0037,1.168,2159,0
VRB,D,20150203,000000,1.0493,1.0493,1.0493,1.0493,3836,0
VRB,D,20150204,000000,1.0493,1.0493,1.0493,1.0493,14,0
VRB,D,20150205,000000,1.0037,1.0859,1.0037,1.0859,2192,0
VRB,D,20150206,000000,1.0859,1.1863,1.0859,1.1863,131,0
VRB,D,20150209,000000,1.2593,1.2593,1.2593,1.2593,1644,0
VRB,D,20150211,000000,1.1863,1.2319,1.1498,1.2319,2488,0
VRB,D,20150212,000000,1.2319,1.2593,1.1406,1.2046,5370,0
VRB,D,20150213,000000,1.1863,1.1863,1.1863,1.1863,10,0
VRB,D,20150216,000000,1.1863,1.1863,1.1863,1.1863,21,0
VRB,D,20150217,000000,1.1863,1.4145,1.1863,1.4145,23234,0
VRB,D,20150218,000000,1.4235,1.4327,1.4235,1.4327,165,0
VRB,D,20150219,000000,1.46,1.6791,1.46,1.6791,1753,0
VRB,D,20150220,000000,1.5969,1.6334,1.5512,1.6334,866,0
VRB,D,20150223,000000,1.6334,1.6791,1.6334,1.6791,657,0
VRB,D,20150224,000000,1.6791,1.6881,1.5512,1.5969,1371,0
VRB,D,20150303,000000,1.5969,1.5969,1.5787,1.5787,866,0
VRB,D,20150304,000000,1.5969,1.5969,1.5969,1.5969,10,0
VRB,D,20150305,000000,1.5969,1.7154,1.5787,1.6425,1799,0
VRB,D,20150306,000000,1.6791,1.7247,1.6425,1.6425,910,0
VRB,D,20150309,000000,1.6425,1.6425,1.6425,1.6425,21,0
VRB,D,20150310,000000,1.6425,1.6425,1.5057,1.5057,2080,0
VRB,D,20150311,000000,1.6425,1.6425,1.6425,1.6425,1644,0
VRB,D,20150312,000000,1.6425,1.6425,1.6425,1.6425,10,0
VRB,D,20150313,000000,1.6425,1.6425,1.5057,1.5057,1107,0
VRB,D,20150316,000000,1.5512,1.5512,1.5512,1.5512,548,0
VRB,D,20150323,000000,1.5512,1.5512,1.5512,1.5512,241,0
VRB,D,20150324,000000,1.5512,1.5878,1.5421,1.5878,1676,0
VRB,D,20150325,000000,1.5969,1.5969,1.5969,1.5969,10,0
VRB,D,20150326,000000,1.5969,1.825,1.5512,1.825,10421,0
VRB,D,20150327,000000,1.7793,1.7793,1.7793,1.7793,10,0
VRB,D,20150330,000000,1.7793,1.7793,1.7337,1.7793,636,0
VRB,D,20150331,000000,1.7704,1.825,1.7704,1.825,1217,0
VRB,D,20150401,000000,1.6425,1.9619,1.6425,1.9619,293682,0
VRB,D,20150402,000000,2.0167,2.263,2.0167,2.263,35473,0
VRB,D,20150407,000000,2.3999,2.3999,2.2356,2.3999,12560,0
VRB,D,20150408,000000,2.3269,2.3269,2.2266,2.2812,279,0
VRB,D,20150409,000000,2.2812,2.2812,2.19,2.2812,1151,0
VRB,D,20150410,000000,2.2812,2.3269,2.2722,2.2812,32291,0
VRB,D,20150413,000000,2.2812,2.2812,2.2812,2.2812,10,0
VRB,D,20150414,000000,2.2812,2.2812,2.2812,2.2812,10,0
VRB,D,20150415,000000,2.2812,2.2812,2.2812,2.2812,21,0
VRB,D,20150416,000000,2.2812,2.2812,2.2812,2.2812,74,0
VRB,D,20150417,000000,2.2812,2.2812,2.2083,2.2083,54,0
VRB,D,20150420,000000,2.2083,2.2083,2.2083,2.2083,21,0
VRB,D,20150421,000000,2.2083,2.2812,2.1991,2.2812,7771,0
VRB,D,20150422,000000,2.3086,2.5733,2.3086,2.555,177845,0
VRB,D,20150423,000000,2.6463,3.1756,2.6463,3.1756,577290,0
VRB,D,20150424,000000,3.285,3.7778,3.1208,3.7778,2882,0
VRB,D,20150427,000000,3.7778,4.5625,3.7778,4.5625,10588,0
VRB,D,20150428,000000,4.5625,5.4751,4.5625,5.4751,4186,0
VRB,D,20150429,000000,6.3419,7.6104,6.3419,7.3913,8044,0
VRB,D,20150430,000000,8.6688,9.034,6.9351,7.8476,1717,0
VRB,D,20150504,000000,7.8476,7.8476,6.3875,7.4826,1556,0
VRB,D,20150505,000000,8.6688,9.034,7.4826,7.8385,2530,0
VRB,D,20150506,000000,8.6688,8.6688,6.9351,7.7472,1856,0
VRB,D,20150507,000000,8.1123,8.6688,6.4971,7.665,8319,0
VRB,D,20150508,000000,7.6377,7.665,6.1138,7.6468,2782,0
